-10  -20  0.555601
-10  -19.8  0.555639
-10  -19.6  0.555598
-10  -19.4  0.555637
-10  -19.2  0.555594
-10  -19  0.555637
-10  -18.8  0.55559
-10  -18.6  0.555634
-10  -18.4  0.555588
-10  -18.2  0.555634
-10  -18  0.555582
-10  -17.8  0.555633
-10  -17.6  0.555581
-10  -17.4  0.555629
-10  -17.2  0.555577
-10  -17  0.555632
-10  -16.8  0.555571
-10  -16.6  0.55563
-10  -16.4  0.555573
-10  -16.2  0.555624
-10  -16  0.55557
-10  -15.8  0.555626
-10  -15.6  0.555561
-10  -15.4  0.55563
-10  -15.2  0.555558
-10  -15  0.555623
-10  -14.8  0.555565
-10  -14.6  0.555609
-10  -14.4  0.555576
-10  -14.2  0.555597
-10  -14  0.555582
-10  -13.8  0.555589
-10  -13.6  0.555584
-10  -13.4  0.555585
-10  -13.2  0.555583
-10  -13  0.555582
-10  -12.8  0.555582
-10  -12.6  0.55558
-10  -12.4  0.55558
-10  -12.2  0.555579
-10  -12  0.555578
-10  -11.8  0.555577
-10  -11.6  0.555576
-10  -11.4  0.555575
-10  -11.2  0.555574
-10  -11  0.555574
-10  -10.8  0.555573
-10  -10.6  0.555572
-10  -10.4  0.555571
-10  -10.2  0.55557
-10  -10  0.555569

-9.8  -20  0.555628
-9.8  -19.8  0.555686
-9.8  -19.6  0.555622
-9.8  -19.4  0.555683
-9.8  -19.2  0.555617
-9.8  -19  0.555682
-9.8  -18.8  0.555611
-9.8  -18.6  0.555678
-9.8  -18.4  0.555607
-9.8  -18.2  0.555677
-9.8  -18  0.555599
-9.8  -17.8  0.555676
-9.8  -17.6  0.555597
-9.8  -17.4  0.55567
-9.8  -17.2  0.555591
-9.8  -17  0.555674
-9.8  -16.8  0.555582
-9.8  -16.6  0.55567
-9.8  -16.4  0.555583
-9.8  -16.2  0.555661
-9.8  -16  0.55558
-9.8  -15.8  0.555665
-9.8  -15.6  0.555567
-9.8  -15.4  0.55567
-9.8  -15.2  0.555561
-9.8  -15  0.555661
-9.8  -14.8  0.555572
-9.8  -14.6  0.555639
-9.8  -14.4  0.555588
-9.8  -14.2  0.555619
-9.8  -14  0.555598
-9.8  -13.8  0.555607
-9.8  -13.6  0.5556
-9.8  -13.4  0.555601
-9.8  -13.2  0.555599
-9.8  -13  0.555597
-9.8  -12.8  0.555596
-9.8  -12.6  0.555595
-9.8  -12.4  0.555593
-9.8  -12.2  0.555592
-9.8  -12  0.55559
-9.8  -11.8  0.555589
-9.8  -11.6  0.555588
-9.8  -11.4  0.555586
-9.8  -11.2  0.555585
-9.8  -11  0.555584
-9.8  -10.8  0.555582
-9.8  -10.6  0.555581
-9.8  -10.4  0.55558
-9.8  -10.2  0.555578
-9.8  -10  0.555577

-9.6  -20  0.555668
-9.6  -19.8  0.555756
-9.6  -19.6  0.55566
-9.6  -19.4  0.555751
-9.6  -19.2  0.555652
-9.6  -19  0.55575
-9.6  -18.8  0.555642
-9.6  -18.6  0.555744
-9.6  -18.4  0.555637
-9.6  -18.2  0.555742
-9.6  -18  0.555624
-9.6  -17.8  0.55574
-9.6  -17.6  0.555621
-9.6  -17.4  0.555731
-9.6  -17.2  0.555612
-9.6  -17  0.555736
-9.6  -16.8  0.555598
-9.6  -16.6  0.555731
-9.6  -16.4  0.5556
-9.6  -16.2  0.555717
-9.6  -16  0.555596
-9.6  -15.8  0.555722
-9.6  -15.6  0.555576
-9.6  -15.4  0.55573
-9.6  -15.2  0.555567
-9.6  -15  0.555716
-9.6  -14.8  0.555582
-9.6  -14.6  0.555684
-9.6  -14.4  0.555606
-9.6  -14.2  0.555654
-9.6  -14  0.555621
-9.6  -13.8  0.555635
-9.6  -13.6  0.555625
-9.6  -13.4  0.555626
-9.6  -13.2  0.555623
-9.6  -13  0.55562
-9.6  -12.8  0.555618
-9.6  -12.6  0.555616
-9.6  -12.4  0.555614
-9.6  -12.2  0.555611
-9.6  -12  0.555609
-9.6  -11.8  0.555607
-9.6  -11.6  0.555605
-9.6  -11.4  0.555603
-9.6  -11.2  0.555601
-9.6  -11  0.555599
-9.6  -10.8  0.555597
-9.6  -10.6  0.555595
-9.6  -10.4  0.555593
-9.6  -10.2  0.555591
-9.6  -10  0.555589

-9.4  -20  0.55573
-9.4  -19.8  0.55586
-9.4  -19.6  0.555717
-9.4  -19.4  0.555853
-9.4  -19.2  0.555705
-9.4  -19  0.55585
-9.4  -18.8  0.55569
-9.4  -18.6  0.555841
-9.4  -18.4  0.555682
-9.4  -18.2  0.555838
-9.4  -18  0.555663
-9.4  -17.8  0.555835
-9.4  -17.6  0.555658
-9.4  -17.4  0.555822
-9.4  -17.2  0.555646
-9.4  -17  0.555827
-9.4  -16.8  0.555624
-9.4  -16.6  0.555821
-9.4  -16.4  0.555626
-9.4  -16.2  0.5558
-9.4  -16  0.555621
-9.4  -15.8  0.555805
-9.4  -15.6  0.555591
-9.4  -15.4  0.555817
