y, e, y(t;y;e)
-20,  -20,  2.77778
-20,  -19.8,  2.77778
-20,  -19.6,  2.77778
-20,  -19.4,  2.77778
-20,  -19.2,  2.77778
-20,  -19,  2.77778
-20,  -18.8,  2.77778
-20,  -18.6,  2.77778
-20,  -18.4,  2.77778
-20,  -18.2,  2.77778
-20,  -18,  2.77778
-20,  -17.8,  2.77778
-20,  -17.6,  2.77778
-20,  -17.4,  2.77778
-20,  -17.2,  2.77778
-20,  -17,  2.77778
-20,  -16.8,  2.77778
-20,  -16.6,  2.77778
-20,  -16.4,  2.77778
-20,  -16.2,  2.77778
-20,  -16,  2.77778
-20,  -15.8,  2.77778
-20,  -15.6,  2.77778
-20,  -15.4,  2.77778
-20,  -15.2,  2.77778
-20,  -15,  2.77778
-20,  -14.8,  2.77778
-20,  -14.6,  2.77778
-20,  -14.4,  2.77778
-20,  -14.2,  2.77778
-20,  -14,  2.77778
-20,  -13.8,  2.77778
-20,  -13.6,  2.77778
-20,  -13.4,  2.77778
-20,  -13.2,  2.77778
-20,  -13,  2.77778
-20,  -12.8,  2.77778
-20,  -12.6,  2.77778
-20,  -12.4,  2.77778
-20,  -12.2,  2.77778
-20,  -12,  2.77778
-20,  -11.8,  2.77778
-20,  -11.6,  2.77778
-20,  -11.4,  2.77778
-20,  -11.2,  2.77778
-20,  -11,  2.77778
-20,  -10.8,  2.77778
-20,  -10.6,  2.77778
-20,  -10.4,  2.77778
-20,  -10.2,  2.77778
-20,  -10,  2.77778
-20,  -9.8,  2.77778
-20,  -9.6,  2.77778
-20,  -9.4,  2.77778
-20,  -9.2,  2.77778
-20,  -9,  2.77778
-20,  -8.8,  2.77778
-20,  -8.6,  2.77778
-20,  -8.4,  2.77778
-20,  -8.2,  2.77778
-20,  -8,  2.77778
-20,  -7.8,  2.77778
-20,  -7.6,  2.77778
-20,  -7.4,  2.77778
-20,  -7.2,  2.77778
-20,  -7,  2.77778
-20,  -6.8,  2.77778
-20,  -6.6,  2.77778
-20,  -6.4,  2.77778
-20,  -6.2,  2.77778
-20,  -6,  2.77778
-20,  -5.8,  2.77778
-20,  -5.6,  2.77778
-20,  -5.4,  2.77778
-20,  -5.2,  2.77778
-20,  -5,  2.77778
-20,  -4.8,  2.77778
-20,  -4.6,  2.77778
